od,before,after,delta
FOT->HOM,3.7,8.389999999999999,4.689999999999999
FOT->KOB,3.76,8.43,4.67
FOT->KOT,3.27,8.47,5.200000000000001
FOT->KWT,4.02,8.69,4.67
FOT->LAT,4.119999999999999,8.79,4.67
FOT->LOF,3.37,8.39,5.0200000000000005
FOT->MOK,3.54,8.559999999999999,5.019999999999999
FOT->NTK,3.8699999999999997,8.54,4.67
FOT->PRE,3.46,8.649999999999999,5.189999999999999
FOT->SKM,3.37,8.57,5.2
FOT->TIK,4.319999999999999,8.989999999999998,4.669999999999999
FOT->WHA,3.74,8.429999999999998,4.689999999999998
FOT->WTS,3.47,8.31,4.84
FOT->YAT,4.209999999999999,8.879999999999999,4.67
FOT->YMT,3.62,8.459999999999999,4.839999999999999
SHT->CHH,3.56,8.23,4.67
SHT->DIH,3.47,8.14,4.67
SHT->HOM,3.6100000000000003,8.299999999999999,4.689999999999999
SHT->KOB,3.67,8.34,4.67
SHT->KOT,3.18,8.38,5.200000000000001
SHT->KWT,3.9299999999999997,8.6,4.67
SHT->LAT,4.029999999999999,8.7,4.67
SHT->LOF,3.2800000000000002,8.3,5.0200000000000005
SHT->MOK,3.45,8.469999999999999,5.019999999999999
SHT->NTK,3.78,8.45,4.67
SHT->PRE,3.37,8.559999999999999,5.189999999999999
SHT->SKM,3.2800000000000002,8.48,5.2
SHT->TIK,4.2299999999999995,8.899999999999999,4.669999999999999
SHT->WHA,3.6500000000000004,8.339999999999998,4.689999999999998
SHT->WTS,3.3800000000000003,8.22,4.84
SHT->YAT,4.119999999999999,8.79,4.67
SHT->YMT,3.5300000000000002,8.37,4.839999999999999
TAW->CHH,3.4699999999999998,8.14,4.670000000000001
TAW->DIH,3.38,8.05,4.670000000000001
TAW->HOM,3.52,8.209999999999999,4.6899999999999995
TAW->KOB,3.5799999999999996,8.25,4.67
TAW->KOT,3.09,8.290000000000001,5.200000000000001
TAW->KWT,3.8399999999999994,8.51,4.67
TAW->LAT,3.9399999999999995,8.61,4.67
TAW->LOF,3.19,8.21,5.020000000000001
TAW->MOK,3.36,8.379999999999999,5.02
TAW->NTK,3.6899999999999995,8.36,4.67
TAW->PRE,3.28,8.469999999999999,5.1899999999999995
TAW->SKM,3.19,8.39,5.200000000000001
TAW->TIK,4.14,8.809999999999999,4.669999999999999
TAW->WHA,3.56,8.249999999999998,4.689999999999998
TAW->WTS,3.29,8.13,4.840000000000001
TAW->YAT,4.029999999999999,8.7,4.67
TAW->YMT,3.44,8.28,4.84
TWO->CHH,3.92,8.59,4.67
TWO->DIH,3.83,8.5,4.67
TWO->HOM,3.97,8.66,4.6899999999999995
TWO->KOB,4.03,8.7,4.669999999999999
TWO->KOT,3.54,8.74,5.2
TWO->KWT,4.290000000000001,8.959999999999999,4.669999999999998
TWO->LAT,4.390000000000001,9.059999999999999,4.669999999999998
TWO->LOF,3.64,8.66,5.02
TWO->MOK,3.81,8.83,5.02
TWO->NTK,4.140000000000001,8.809999999999999,4.669999999999998
TWO->PRE,3.73,8.92,5.1899999999999995
TWO->SKM,3.64,8.84,5.199999999999999
TWO->TIK,4.590000000000001,9.259999999999998,4.669999999999997
TWO->WHA,4.01,8.7,4.6899999999999995
TWO->WTS,3.74,8.58,4.84
TWO->YAT,4.48,9.149999999999999,4.669999999999998
TWO->YMT,3.89,8.73,4.84
