Source,Target,Volume
SUW_TML,KAT_TML,215927.49
SUW_TML,TKW_TML,1234812.18
SWH_ISL,TAK_ISL,960935.57
SWH_ISL,SKW_ISL,809598.15
SYP_ISL,HKU_ISL,716245.13
SYP_ISL,SHW_ISL,1046470.19
TAK_ISL,QUB_ISL,1185199.43
TAK_ISL,SWH_ISL,1071942.55
TAP_EAL,UNI_EAL,810022.33
TAP_EAL,TWO_EAL,675638.58
TAW_EAL,TAW_TML,379214.03
TAW_EAL,KOT_EAL,1205078.25
TAW_EAL,SHT_EAL,1070246.41
TAW_TML,TAW_EAL,253347.01
TAW_TML,CKT_TML,214356.17
TAW_TML,HIK_TML,473915.65
TIH_ISL,CAB_ISL,2069052.8
TIH_ISL,FOH_ISL,2018514.4
TIK_KTL,TIK_TKL,194354.5
TIK_KTL,YAT_KTL,285535.41
TIK_TKL,TIK_KTL,172144.3
TIK_TKL,YAT_TKL,457536.95
TIK_TKL,TKO_TKL,378560.8
TIS_TML,LOP_TML,326386.78
TIS_TML,SIH_TML,112716.72
TKO_TKL,TIK_TKL,410096.28
TKO_TKL,HAH_TKL,285165.25
TKO_TKL,LHP_TKL,46598.44
TKW_TML,SUW_TML,229068.19
TKW_TML,HOM_TML,1319725.41
TSH_TML,HEO_TML,82818.66
TSH_TML,SHM_TML,154290.74
TST_TWL,ADM_TWL,2253872.44
TST_TWL,JOR_TWL,2641318.43
TSW_TWL,TWH_TWL,533275.41
TSY_AEL,TSY_TCL,26199.61
TSY_AEL,KOW_AEL,16467.42
TSY_AEL,AIR_AEL,8206.54
TSY_TCL,TSY_AEL,24735.5
TSY_TCL,LAK_TCL,126933.77
TSY_TCL,SUN_TCL,80194.13
TUC_TCL,SUN_TCL,50102.74
TUM_TML,SIH_TML,56270.0
TWH_TWL,KWH_TWL,867512.48
TWH_TWL,TSW_TWL,554618.49
TWO_EAL,TAP_EAL,703895.1
TWO_EAL,FAN_EAL,530450.85
TWW_TML,MEF_TML,521871.11
TWW_TML,KSR_TML,434106.28
UNI_EAL,FOT_EAL,860381.83
UNI_EAL,TAP_EAL,785343.91
WAC_ISL,ADM_ISL,2389630.67
WAC_ISL,CAB_ISL,2325193.48
WCH_SIL,OCP_SIL,135066.59
WCH_SIL,LET_SIL,83912.39
WHA_KTL,HOM_KTL,441312.04
WKS_TML,MOS_TML,16034.14
WTS_KTL,LOF_KTL,2182205.72
WTS_KTL,DIH_KTL,2150607.97
YAT_KTL,YAT_TKL,325142.7
YAT_KTL,LAT_KTL,718769.09
YAT_KTL,TIK_KTL,302251.32
YAT_TKL,YAT_KTL,385559.37
YAT_TKL,QUB_TKL,503003.89
YAT_TKL,TIK_TKL,392770.06
YMT_KTL,YMT_TWL,889516.32
YMT_KTL,HOM_KTL,1206605.53
YMT_KTL,MOK_KTL,2638173.68
YMT_TWL,YMT_KTL,1110740.78
YMT_TWL,JOR_TWL,3673227.63
YMT_TWL,MOK_TWL,2246406.46
YUL_TML,KSR_TML,517194.21
YUL_TML,LOP_TML,350728.6
