Time,Hour,Source,Target,Volume_per_min,Capacity_per_min,VC_Ratio,Is_Transfer
10:00,10,ADM_EAL,ADM_TWL,592.7575833333334,350.0,1.6935930952380955,True
16:00,16,QUB_ISL,TAK_ISL,1179.5424208333336,696.9508400746732,1.692432741320685,False
20:00,20,HOM_TML,HOM_KTL,592.3375400000001,350.0,1.6923929714285717,True
14:00,14,HOM_TML,HOM_KTL,592.3375400000001,350.0,1.6923929714285717,True
11:00,11,HOM_TML,HOM_KTL,592.3375400000001,350.0,1.6923929714285717,True
11:00,11,ADM_ISL,CEN_ISL,1186.6735866666668,701.3149655604258,1.6920693909880955,False
13:00,13,CEN_ISL,SHW_ISL,1174.76391,694.6454413892909,1.6911705454375,False
19:00,19,KOT_EAL,TAW_EAL,1385.67234,819.4385468270818,1.6910021445359282,False
13:00,13,HUH_EAL,MKK_EAL,1327.1338875000001,785.0953206239169,1.690411154718543,False
21:00,21,LAK_TWL,KWF_TWL,855.7908508333334,506.290407129128,1.690316148168824,False
19:00,19,KOT_EAL,MKK_EAL,1385.1044799999997,819.4385468270818,1.6903091578535234,False
15:00,15,KOB_KTL,CHH_KTL,1297.61952,768.066819997579,1.6894617580330968,False
20:00,20,SHW_ISL,CEN_ISL,985.37164,583.363341735686,1.6891216322716047,False
11:00,11,CHH_KTL,DIH_KTL,1285.6397666666667,761.1336032388664,1.6891118210992908,False
22:00,22,DIH_KTL,CHH_KTL,860.45571,509.4679891794409,1.688929880336283,False
14:00,14,ADM_ISL,ADM_TWL,591.0135866666667,350.0,1.6886102476190477,True
20:00,20,ADM_ISL,ADM_TWL,591.0135866666667,350.0,1.6886102476190477,True
11:00,11,ADM_ISL,ADM_TWL,591.0135866666667,350.0,1.6886102476190477,True
21:00,21,NOP_ISL,QUB_ISL,839.7044133333334,497.2757271122708,1.6886092916893003,False
22:00,22,TKW_TML,HOM_TML,659.8627049999999,390.79662388715457,1.6885066673210056,False
11:00,11,LCK_TWL,MEF_TWL,1404.1959733333335,832.1196875413743,1.6874927902285868,False
15:00,15,CEN_ISL,SHW_ISL,1174.76391,698.2006249326581,1.682559235912037,False
21:00,21,PRE_KTL,PRE_TWL,588.8500275,350.0,1.68242865,True
06:00,6,KAT_TML,SUW_TML,582.18443,346.05146406388644,1.6823637246410257,False
14:00,14,NOP_ISL,FOH_ISL,1166.5501266666665,693.5700278666528,1.6819500263799603,False
12:00,12,HUH_TML,HUH_EAL,588.6587099999999,350.0,1.6818820285714284,True
13:00,13,HUH_TML,HUH_EAL,588.6587099999999,350.0,1.6818820285714284,True
15:00,15,HUH_TML,HUH_EAL,588.6587099999999,350.0,1.6818820285714284,True
23:00,23,LOF_KTL,KOT_KTL,788.6736699999999,469.14797469394466,1.6810765740052536,False
15:00,15,DIH_KTL,CHH_KTL,1290.6835649999998,768.066819997579,1.6804313523191485,False
20:00,20,HOM_KTL,YMT_KTL,993.16836,591.317365269461,1.6795859860253166,False
08:00,8,ADM_SIL,ADM_EAL,587.350325,350.0,1.6781437857142858,True
16:00,16,MKK_EAL,HUH_EAL,1297.1023083333334,773.4015345268542,1.6771395587246474,False
21:00,21,MOK_TWL,MOK_KTL,586.3983766666666,350.0,1.6754239333333334,True
08:00,8,TWO_EAL,FAN_EAL,1326.1271249999998,791.810676940011,1.6748032877314554,False
12:00,12,CEN_ISL,SHW_ISL,1174.76391,701.6811109950925,1.6742133878080354,False
16:00,16,QUB_ISL,NOP_ISL,1166.3437225,696.9508400746732,1.673494966122768,False
20:00,20,NTK_KTL,KOB_KTL,989.22108,591.317365269461,1.672910585924051,False
09:00,9,KSR_TML,YUL_TML,640.14834,382.7699018538713,1.6724103355555555,False
18:00,18,TIS_TML,LOP_TML,707.1713566666668,423.384664870733,1.6702809887613173,False
09:00,9,SYP_ISL,HKU_ISL,1074.367695,643.9659489233851,1.6683610318157074,False
20:00,20,KWF_TWL,LAK_TWL,990.3518066666667,593.7316068275455,1.6680126091962002,False
08:00,8,HKU_ISL,KET_ISL,850.5168249999999,510.4199936122644,1.666307816394212,False
22:00,22,MEF_TWL,LAK_TWL,844.9924649999999,507.51710478934103,1.6649536676221728,False
11:00,11,NOP_ISL,FOH_ISL,1166.5501266666665,701.3149655604258,1.663375493113095,False
21:00,21,ADM_TWL,ADM_ISL,581.8848233333334,350.0,1.6625280666666669,True
17:00,17,KSR_TML,TWW_TML,700.3981466666667,421.75189247644056,1.6606876202832723,False
15:00,15,ADM_ISL,ADM_EAL,580.98594,350.0,1.6599598285714285,True
13:00,13,ADM_ISL,ADM_EAL,580.98594,350.0,1.6599598285714285,True
12:00,12,ADM_ISL,ADM_EAL,580.98594,350.0,1.6599598285714285,True
14:00,14,CEN_ISL,ADM_ISL,1150.56456,693.5700278666528,1.6589017889642859,False
19:00,19,HUH_EAL,EXC_EAL,1359.0887,819.4385468270818,1.6585608588496086,False
