Origin,Destination,Travel_Time_Min,Transfers,Target_Flow_Baseline,Predicted_Flow
POA,KOT,4.430000000000001,1,0.03391566530664848,0.03415797
POA,KOW,10.29,2,0.007845346258279783,0.00793572
POA,KSR,11.13,3,0.00679639165974001,0.006794795
POA,KWF,8.27,2,0.011636986532515487,0.011661855
POA,KWH,8.34,2,0.011463209973909736,0.011646236
POA,KWT,3.83,1,0.04286528726172258,0.042769413
POA,LAK,8.15,2,0.01194422049031025,0.011757334
POA,LAT,3.72,1,0.04488652686009766,0.045015525
POA,LCK,7.930000000000001,2,0.01253998688317372,0.012548163
POA,LET,9.069999999999999,2,0.009861456399049753,0.009746836
POA,LHP,0.38999999999999996,0,0.5175715542673776,0.51553994
POA,LMC,8.290000000000001,2,0.011586935035531334,0.011646236
POA,LOF,4.3500000000000005,1,0.03493754913092846,0.034982264
POA,LOP,11.55,3,0.00634910556975286,0.006456633
POA,LOW,8.31,2,0.01153720575798865,0.011646236
POA,MEF,8.030000000000001,2,0.01226378418683139,0.012132986
POA,MKK,7.42,2,0.014105088551745928,0.014108875
POA,MOK,4.7,1,0.03077870113881194,0.030614264
POA,MOS,15.02,2,0.003896502655076909,0.003980321
POA,NAC,11.329999999999998,2,0.006577696740553936,0.0066733477
POA,NOP,0.78,0,0.3156167150612296,0.3160256
POA,NTK,3.95,1,0.040812162024283234,0.040389743
POA,OCP,7.459999999999999,2,0.013972022422301585,0.013973822
POA,OLY,11.129999999999999,2,0.006796391659740012,0.006794795
POA,PRE,4.62,1,0.03166119983282886,0.031546436
POA,QUB,0.73,0,0.33412409368839585,0.33367243
POA,SHM,13.450000000000001,2,0.004789214688521449,0.004745503
POA,SHS,8.24,2,0.011712674050336387,0.011740652
POA,SHT,7.630000000000001,2,0.013426982057523873,0.01347106
POA,SHW,4.369999999999999,1,0.034677791302116394,0.034852
POA,SIH,12.01,3,0.005908066933671905,0.0058388477
POA,SKM,4.53,1,0.032700149439682934,0.032491654
POA,SKW,4.0200000000000005,1,0.039681909810955374,0.039656322
POA,SOH,9.179999999999998,2,0.009649491857758773,0.009730716
POA,SSP,7.7700000000000005,2,0.013001720127572879,0.013025447
POA,STW,11.38,2,0.0065246723961989855,0.0064741173
POA,SUN,11.44,3,0.006461885216240528,0.0064741173
POA,SUW,7.3100000000000005,2,0.01448097995687564,0.014370472
POA,SWH,3.93,1,0.04114396685442031,0.04133319
POA,SYP,4.449999999999999,1,0.03366719973066241,0.03353501
POA,TAK,3.83,1,0.04286528726172258,0.042769413
POA,TAP,7.870000000000001,2,0.012710211002212845,0.01270016
POA,TAW,7.5200000000000005,2,0.013775926293283962,0.013754786
POA,TIH,3.9200000000000004,1,0.04131138872364334,0.04133319
POA,TIK,0.5,0,0.4444444444444444,0.44978437
POA,TIS,11.57,3,0.006328917647490678,0.006456633
POA,TKO,0.33999999999999997,0,0.556916907997327,0.5595456
POA,TKW,7.33,2,0.014411526915688243,0.014370472
POA,TSH,13.47,2,0.004775984820009848,0.004745503
POA,TST,7.299999999999999,2,0.014515894904920891,0.014370472
