Station Code,Station ID,Chinese Name,English Name,Lines,Is_Interchange,Barrier_Free_Facilities_Count,Facilities_AJ_Count,Facilities_HJ_Count,Facilities_MJ_Count,Facilities_VJ_Count,Station ID_poi,English Name_poi,Total_POI,GOV,CUF,TRS,RSF,CMF,UTI,BUS,MUF,SCH,AMD,TRH,REM,HNC,TRF,COM,BGD,Cluster,Cluster_Name
KOW,45.0,九龍,Kowloon,"AEL,TCL",True,0,0,0,0,0,45.0,Kowloon,70,6.0,3.0,34.0,2.0,8.0,3.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,2,Commercial
KSR,115.0,錦上路,Kam Sheung Road,TML,False,21,3,5,4,9,115.0,Kam Sheung Road,24,1.0,0.0,7.0,2.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Commercial
KWF,22.0,葵芳,Kwai Fong,TWL,False,20,2,5,4,9,22.0,Kwai Fong,208,11.0,4.0,22.0,38.0,24.0,11.0,20.0,24.0,27.0,0.0,0.0,11.0,12.0,0.0,4.0,0.0,1,Residential
KWH,23.0,葵興,Kwai Hing,TWL,False,21,3,5,4,9,23.0,Kwai Hing,242,18.0,4.0,23.0,66.0,25.0,16.0,9.0,21.0,33.0,2.0,0.0,13.0,9.0,0.0,3.0,0.0,1,Residential
KWT,15.0,觀塘,Kwun Tong,KTL,False,21,3,5,4,9,15.0,Kwun Tong,220,24.0,2.0,50.0,26.0,28.0,12.0,14.0,11.0,16.0,2.0,0.0,12.0,11.0,7.0,4.0,1.0,1,Residential
LAK,21.0,茘景,Lai King,"TCL,TWL",True,20,2,5,4,9,21.0,Lai King,127,7.0,2.0,18.0,20.0,8.0,19.0,6.0,17.0,14.0,0.0,0.0,3.0,5.0,5.0,3.0,0.0,2,Commercial
LAT,38.0,藍田,Lam Tin,KTL,False,21,2,5,5,9,38.0,Lam Tin,159,10.0,3.0,16.0,41.0,15.0,4.0,13.0,12.0,25.0,0.0,0.0,6.0,6.0,5.0,3.0,0.0,2,Commercial
LCK,19.0,茘枝角,Lai Chi Kok,TWL,False,22,4,5,4,9,19.0,Lai Chi Kok,175,11.0,2.0,45.0,18.0,26.0,18.0,12.0,13.0,14.0,2.0,0.0,6.0,0.0,7.0,1.0,0.0,2,Commercial
LET,88.0,利東,Lei Tung,SIL,False,19,3,5,4,7,88.0,Lei Tung,143,5.0,5.0,15.0,31.0,12.0,5.0,10.0,18.0,18.0,1.0,0.0,7.0,12.0,2.0,2.0,0.0,2,Commercial
LHP,57.0,康城,LOHAS Park,TKL,False,21,3,5,4,9,57.0,LOHAS Park,43,3.0,2.0,13.0,2.0,5.0,6.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2,Commercial
LMC,78.0,落馬洲,Lok Ma Chau,EAL,False,23,3,5,5,10,78.0,Lok Ma Chau,19,3.0,3.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2,Commercial
LOF,9.0,樂富,Lok Fu,KTL,False,20,2,5,4,9,9.0,Lok Fu,200,5.0,3.0,12.0,83.0,13.0,9.0,5.0,20.0,25.0,0.0,0.0,8.0,7.0,1.0,4.0,5.0,1,Residential
LOP,117.0,朗屏,Long Ping,TML,False,21,3,5,4,9,117.0,Long Ping,236,17.0,1.0,21.0,41.0,39.0,10.0,10.0,23.0,35.0,7.0,0.0,12.0,12.0,0.0,8.0,0.0,1,Residential
LOW,76.0,羅湖,Lo Wu,EAL,False,23,3,5,5,10,76.0,Lo Wu,13,4.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,Commercial
MEF,20.0,美孚,Mei Foo,"TML,TWL",True,25,4,7,5,9,20.0,Mei Foo,173,10.0,4.0,15.0,50.0,18.0,17.0,5.0,21.0,19.0,1.0,0.0,4.0,2.0,5.0,2.0,0.0,1,Residential
MKK,65.0,旺角東,Mong Kok East,EAL,False,21,2,5,4,10,65.0,Mong Kok East,419,24.0,3.0,28.0,29.0,53.0,15.0,17.0,13.0,23.0,180.0,3.0,21.0,9.0,0.0,1.0,0.0,0,Mixed
MOK,6.0,旺角,Mong Kok,"KTL,TWL",True,20,2,5,4,9,6.0,Mong Kok,632,22.0,5.0,36.0,40.0,98.0,15.0,17.0,23.0,19.0,303.0,2.0,39.0,10.0,0.0,3.0,0.0,0,Mixed
